QuestionId,Title,Body,QuestionURL,UserId,DocRelated
70163993,Replace tf.const with tf.variable in frozen graph for re-train frozen graph,"I got trouble to re-train frozen graph Due to Const in Graph Actually I checked out many reference codes like this and this Tried everything but no lock for me. My environment below My code below The problem is, When I replace variable by using below code The model is modified well but, I could not inference by using this model due to initialize problem I'm struggling few weeks, I never know how TensorFlow Graph has been working inside. There is no exact document about it also. I read every document on Tensorflow page relevant. Please help me out from the dark",https://stackoverflow.com/questions/70163993,4457567.0,1
42865818,"Tensorflow Serving - ""No versions of servable"" message for model trained with tf.contrib.learn.Experiment","I've trained a model using the Getting Started tutorial from Google Cloud ML Engine as a reference. I could manage to deploy and serve this model on Google Cloud ML without problems. Now I'm trying to serve it using Tensorflow Serving but I'm getting the message error below: The command line call I'm using to start de Tensorflow serving is: The content of the output folder is: UPDATE: I tried to use the frozen model (.pb file and variables folder) which are indeed the folder I use to deploy the model on Google Cloud ML Engine, but got the same error message. These files are located inside the folder below: The code I've used to train and export the model is: Does anyone have any tip about what I'm doing wrong? Best Regards!",https://stackoverflow.com/questions/42865818,3202362.0,1
44770980,Tensorflow - Retrieve each character in a string tensor,"I'm trying to retrieve the characters in a string tensor for character level prediction. The ground truths are words where each character has an id in dictionary. I have a tensor corresponding to the length of the string. Now, I have to get each character in the string tensor. After checking the related posts, a simple retrieval can be as follows. Example string is ""This"" Now I want to make a string with spaces in between the letters ""This"" i.e "" T h i s "". I need spacing at the start and the end too. How do I do this? I have tried to iterate through the characters like below But the loop expects an integer rather than a tensor. Any idea on how to do the above tasks? I couldn't find any documentation related to this (apart from the tf.string_split function). Any suggestions are welcome. Thanks",https://stackoverflow.com/questions/44770980,5470522.0,1
49930682,Getting InvalidArgumentError in softmax_cross_entropy_with_logits,"I'm pretty new to tensorflow and trying to do some experiments with the Iris dataset. I created following model function (MWE): Unfortunately I get the following error: Seems to be some problem with the shapes of the tensors. However both logits and labels have an equal shape of (256, 3) - as it is required by the documentation. Also both tensors have type float32. Just for the sake of completeness, here is the input function for the estimator: Dataset from UCI repo",https://stackoverflow.com/questions/49930682,8444976.0,1
60974077,How to save Keras model as frozen graph?,I am working with Tensorflow 2.0 and want to store the following Keras model as frozen graph. I can't find any good examples how to do this in Tensorflow 2.0. I have found the freeze_graph.py file in the Tensorflow Github repository but find it hard to wrap my head around it. I load the file mentioned above using: But what exactly do I have to provide to the freeze_graph function itself? Here I marked the arguments where I am not sure with a questionmark. Can someone provide a simple example that shows how I can store the model above as a frozen graph using the freeeze_graph function?,https://stackoverflow.com/questions/60974077,3861775.0,1
58918770,Tenforflow Sparse Arithmetic,"Hi I'm learning tensorflow right now and I am have a sparse dataset which is made up of three columns, date, bond, spread. I figured that storing this data in sparse tensor with bond as one dimension, and date as another will make operations on this tensor feel natural, do let me know if you think there is a better way. I am trying to perform arithmetic on two slices of the tensor where I add/subtract values on one date only if given tensor values is not empty, and while I found some functions that help me with that task I can't shake off the feeling that I'm missing a really simple solution to the problem. Using data bellow: In above example I intend to use dimension one for dates, and dimension two for bonds such that Gives me all spreads for date2, but apparently subtraction is not supported for SparseTensor, nor can I use tf.math.subtract. So I am no longer sure what is supported. Specifically what I want to accomplish in above example is subtract date 0 for all other dates only if bond has spread on both dates. For Example bond 0 shows up in date 0 and 1 but not date 2 so I want to subtract spread in date 0 from both dates 0 and 1. Final tensor would look like this: I guess easy solution would be to use tf.sparse.to_dense but that kind of defeats the whole point of using SparseTensor, so I'm not really sure if I missed something in API docs that makes my solution possible or did I got wrong completely by trying to use SparseTensor? At the end of the day I am just looking to perform some math for each value of a tensor if that value has a match in another tensor. UPDATE: I realized that I can apply tf.math/negative to one of the slices to subtract two slices problem is that output assumes that if value in one slice is missing then it can be assumed to be some default value(zero).",https://stackoverflow.com/questions/58918770,3324507.0,1
60701451,"In Tensorflow Classification, how are the labels ordered when using ""predict""?","I'm using the MNIST handwritten numerals dataset to train a CNN. After training the model, i use predict like this: and i get output as: In the output, there are 10 probabilities, one for each of numeral from 0 to 9. But how do i know which probability refers to which numeral ? In this particular case, the probabilities are arranged sequentially for numerals 0 to 9. But why is that ? I didn't define that anywhere. I tried going over documentation and example implementations found elsewhere on the internet, but no one seems to have addressed this particular behaviour. Edit: For context, I've defined my train/test data by: And my model consists of a a few convulution and pooling layers, then a Flatten layer, then a Dense layer with 128 neurons and an output Dense layer with 10 neurons. After that I simply fit my model and use predict like this: I don't see where I've instructed my code to output first neuron as digit 0, second neuron as digit 1 etc And if i wanted to change the the sequence in which the resulting digits are output, where do i do that ? This is really confusing me a lot.",https://stackoverflow.com/questions/60701451,11501160.0,1
58076296,How to export tensorflow_hub module to use it in an installer,"I'm working on a app that use a tensorflow module, currently i load tensorflow like this However i want to make my app usable for everyone, i plan to export my code to an exe (probably with pyinstaller), so i need to 'export' this model and make load it from the disk I didn't find any information on how to it online and i'm fairly new to tensorflow so i don't really get how to do it",https://stackoverflow.com/questions/58076296,8181833.0,1
63063260,Extracting features from EfficientNet Tensorflow,"I have a CNN model trained using EfficientNetB6. My task is to extract the features of this trained model by removing the last dense layer and then using those weights to train a boosting model. i did this using Pytorch earlier and was able to extract the weights from the layers i was interested and predicted on my validation set and then boosted. I am doing this now in tensorflow but currently stuck. Below is my model structure and I have tried using the code on the website but did not had any luck. I want to remove the last dense layer and predict on the validation set using the remaining layers. I tried using : layer_name = 'efficientnet-b6' intermediate_layer_model = tf.keras.Model(inputs = model.input, outputs = model.get_layer(layer_name).output) but i get an error "" ValueError: Graph disconnected: cannot obtain value for tensor Tensor(""input_1:0"", shape=(None, 760, 760, 3), dtype=float32) at layer ""input_1"". The following previous layers were accessed without issue: []"" Any way to resolve this?",https://stackoverflow.com/questions/63063260,5197636.0,1
76324768,clipnorm vs clipvalue vs global_clipnorm in tf.keras.optimizers.Adam,"I am looking at the definition of clipvalue, clipnorm, global_clipnorm arguments in tf.keras.optimizers.Adam here. I have some questions related to that. The description of the arguments mentions following: Questions:",https://stackoverflow.com/questions/76324768,7561372.0,1
