QuestionId,Title,Body,QuestionUrl,UserId,Issue Type
57995171,Need a clear simple approach to distributed learning in Tensorflow/Keras,"I have multiple machines, some with GPUs and some others not. I also have a keras model that works fine on a single machine but I want to train it in a distributed mode because I want to test it with a huge dataset and with a bigger number of layers. There is quite a lot of pages discussing the distribution strategy in tf.distribute, but at the same time there are a lot other pages showing how to do it with encapsulating keras model with an estimator, setting up the TF_CONFIG parameter and then call tf.estimator.train_and_evaluate. I used the second approach personally as it was more straightforward and am struggling to tune and debug it. It works anyway, but I am very confused what is the point in all of strategy-related stuff as I don't see any use them in the second approach, and the documentation is not helping to clear it. I also have some doubt if my file setting environment is correct: My understanding is that the PS server is going to hold the model parameters and the chief server is going to administer the whole training process, distributing data, and saving summaries and checkpoints. So I assume that: 0- I need only one chief server, at least one PS server, possibly some workers, and one evaluator. The data and parameter sharing and communication between all of these servers is done by system and I am not engaged in it. 1- The main python code for all machines should be exactly the same, except in TF_CONFIG definition that defines the task and index for that specific machine. 2- I should have one shared copy of data in a folder available to all chief and workers. 3- I should have one shared log directory accessible by all machines as defined in tf.estimator.RunConfig. 4- Having this setting then a piece of code such as below will do the job (assuming the model has been defined elsewhere and the read_datasets function returns features and labels for running the model): Although the above approach seems to work fine, I still have some difficulties understanding how the chief is partitioning the dataset among the workers and how to set the train_step and batch_size in this approach. Also I don't know how can I report accuracy and other metrics such as precision/recall/F1 in addition to loss when running the tf.estimator.evaluate without writing a custom model_fn for my encapsulated keras estimator.",https://stackoverflow.com/questions/57995171,6450489,Documentation Replication on Other Examples
57731214,What tf.keras.backend.clear_session actually do?,What is tf.keras.backend.clear_session actually do? https://www.tensorflow.org/api_docs/python/tf/keras/backend/clear_session How it's related to tf.reset_default_graph() and sess.close() ? https://www.tensorflow.org/api_docs/python/tf/reset_default_graph https://www.tensorflow.org/api_docs/python/tf/Session#close,https://stackoverflow.com/questions/57731214,1179925,Lack of Alternative Solutions/Documentation
57858794,"Why doesn't a Lambda function that returns the result of tf.py_func/tf.numpy_function have an output shape, and how can I correct this behavior?","For example purposes, I've created two Python functions. One takes a value and just returns it; the other is a lambda function that returns a Tensor to evaluate the function: When I run this code on Tensorflow 1.14.x + Keras 2.2.x + Python 3.6.x, and even if I set the output_shape parameter of the Lambda layer, I get a Lambda layer with a ""None"" output shape: When I test the code using a test tensor, I get the results I might expect: Output: For comparison purposes, I also created a neural network using the function found in this page of documentation: As somewhat expected, this prints: Now - if I understand correctly - both tf.py_func and K.concatenate return a TensorFlow Tensor object. So, the question is, Why does all the code I posted here work, EXCEPT my tf.numpy_function layer?",https://stackoverflow.com/questions/57858794,10083113,Documentation Replicability
57875937,Inconsistent tf.print results,"I was trying to understand the executing order in tensorflow graph. When I was running the following code. tf.print prints undetermined results. Here are the output of 20 repetitions. Sometimes, it prints ""msg1: 3"", sometimes it prints ""msg1: 1"". So what's going on here?",https://stackoverflow.com/questions/57875937,7212365,Documentation Replication on Other Examples
57929803,What is the proper way to convert Tracing Code using RunOptions to Tensorflow 2.0?,I'm having difficulty finding any documentation on how to migrate tracing code from 1.x to 2.0. In tensorflow 1.x you could do the following: How can you do a similar thing with a @tf.function call?,https://stackoverflow.com/questions/57929803,314864,Inadequate Examples
56693863,Why does model.losses return regularization losses?,"I have met a snippet of code of tensorflow 2.0, which is used for calculating the loss. The total loss is composed of two parts: 1) regularization loss, 2) prediction loss. My question is why model.losses is regularization loss? model here is an instance of tf.keras.Model. I'm kind of confused by the tensorflow official API documentation. tf.keras.Model, it says Why could we get regularization loss via accessing losses property? Also, what is eager safe? If losses property is returning regularization loss, why is it named losses instead of regularization_loss?",https://stackoverflow.com/questions/56693863,7212365,Documentation Ambiguity
40879504,How to apply Drop Out in Tensorflow to improve the accuracy of neural network?,"Drop-Out is regularization techniques. And I want to apply it to notMNIST data to reduce over-fitting to finish my Udacity Deep Learning Course Assignment.I have read the docs of tensorflow on how to call the tf.nn.dropout. And here is my code The tf.nn.dropout is called in function model(), but after I applied the DropOut technique to the neural network, the accuracy did seem any change, here is the result: How can I apply DropOut by Tensorflow to improve the accuracy of the network? Thank you!",https://stackoverflow.com/questions/40879504,5046896,Documentation Replication on Other Examples
59847045,Should I use @tf.function for all functions?,"An official tutorial on @tf.function says: It only mentions how to implement @tf.function annotated functions but not when to use it. Is there a heuristic on how to decide whether I should at least try to annotate a function with tf.function? It seems that there are no reasons not to do it, unless I am to lazy to remove side effects or change some things like range()-&gt; tf.range(). But if I am willing to do this... Is there any reason not to use @tf.function for all functions?",https://stackoverflow.com/questions/59847045,502727,Requesting (Additional) Documentation/Examples
41216322,How to write piecewise function in Tensorflow?,"I have tried to train only one Tensorflow variable theta by using tf.select as the code shown below. But I got So how to do this? If I really want use tf.cond or tf.where or tf.select or tf.case instead of something like sigmoid, I mean how to do condition braches (piecewise function) in Tensorflow in general?",https://stackoverflow.com/questions/41216322,2394303,Inadequate Examples
60222896,How can I calculate pos_weight variable of the tf.nn.weighted_cross_entropy_with_logits for multiple classes?,"I want to use tf.nn.weighted_cross_entropy_with_logits. There are three classes of the dataset. The number of images in class A is 5500, in class B is 2000, and in class C is 20000. How can I calculate and use pos_weight variable in tf.nn.weighted_cross_entropy_with_logits?",https://stackoverflow.com/questions/60222896,12594959,Documentation Replication on Other Examples
