,QuestionId,Title,Body,QuestionURL,UserId,DocRelated
0,64821948,Iterating on Tensorfow Dataset returns always a differently sorted array,"Suppose you have a tensorflow dataset that has values and labels. In my case I created it from a time series as: Now for evaluation purposes I want to get the ground truth values of the test, so I am running but this is returning each time an array differently sorted, so it cannot be compared with the models predicted by the model. For example when running the above line in jupyter notebook and printing the first 5 values of y as `y[:5], one time I get another I get but the length of y remains the same so I am assuming that the elements are just shuffled around. Anyway with this I cannot compared these values with the predicted ones, since their order is different : Furthermore, I get also different evaluation results. For example, each time the loop defining the arrays x and y is re-executed, I get different x and y arrays that result in a different evaluation result.",https://stackoverflow.com/questions/64821948,1714692.0,1
1,67184239,Tensorflow randomly won't load at all,"i have been trying to run the basic tensorflow quickstart, but can't manage to do it i followed closely the basic instructions, and randomly, i end up with : when importing the module (import tensorflow) i have python 3.6.8, and executing exactly these instructions : https://www.tensorflow.org/install/pip#virtual-environment-install it's extremely inconsistent, sometimes it loads, and i'm able to run the quickstart, but most of the time it returns the error above, for no apparent reason it is the right version of tensorflow installed (2.4.1), and keras is installed as well (2.4.3) can you help me ?",https://stackoverflow.com/questions/67184239,13310136.0,1
2,41120332,tensorflow initialize_all_variables() location,"I'm studying MLP with tensorflow, using under code. It's functions are readfile,build parameters, train, testing, make AOC but this location makes error How can I avoid this error?",https://stackoverflow.com/questions/41120332,5973576.0,1
3,51911324,How to get the output predictions in TensorFlow,"As the title says, I'm trying to grab the actual prediction in my TensorFlow model. The issue is that I don't understand how to grab the prediction even though there are multiple answers already. I don't understand what data the pred.eval or the session functions need, and I was hoping someone here could explain it. The code I'm using is here: What do I do in this situation? Any advice is appreciated and thanks in advance",https://stackoverflow.com/questions/51911324,7601445.0,1
4,75656053,Using TensorFlow to predict inital values for curve fitting,"I have a mass of data, which needs to have curves fitted to based on some complicated mathematical function, and want to use SciPy's curve_fit function to do so. My problem is, that finding or predicting the initial values for fitting based on some aspects of the data is extremely tedious to do manually, but crucial as fits will be nonsensical if the inital values are not relatively accurate. This is why I am hoping to train a neural network to do this relatively reliably using TensorFlow. To this end, I tried writing a custom loss function for training, that runs scipy.optimize.curve fit on the training data with the predicted inital parameters, to judge how closely the optimized parameters match with the true parameters used in generating the training data. However, since you are apparently only allowed to use tensorflows built-in math operations in the custom loss function, I am at a loss at how to actually implement this. Here is a small example of what I am trying to do, with a linear function: This just raises Since scipy can't handle Tensors. Suggestions on how to handle this are much appreciated!",https://stackoverflow.com/questions/75656053,18255482.0,1
5,67159270,Keras layer channel-wise multiplication of scalar and graph plotting,"I try to multiply scalar values to each channel in a tensor: yields which is correct. Now I am trying to wrap that operation inside a keras.layers.Layer, whereby w is a learnable parameter. I also try to plot my model using tf.keras.utils.plot_model(m). I encounter several problems. I plot this model using Problem: I encountered the following warning: Question: Can I savely ignore the warning and the weights are still learned? If yes, how can I suppress this warning? As suggested in the warning, I wrap the multiplication in its own subclassed layer: Problem: This works until the model is plotted. Then I encounter the following error: AttributeError: 'ResourceVariable' object has no attribute '_keras_history' Traceback: Question: How do I resolve that error? Is this a bug (I submitted an issue to the tf github repo, however it was deleted immediately)? I try to use keras.layers.Multiply instead: Problem: ValueError: Can not merge tensors with different batch sizes. Got tensors with shapes : [(10, 64, 64, 256), (256,)] To my understanding, the ValueError occurs because the internal _Merge layer checks for equal batch sizes. The internal Multiply layer however implements the multiplication with broadcasting (which should work!): I could use tf.broadcast_to and so on, however, to my understanding this would materialize the tensor and would occupy more memory which I try to avoid. Question: Is there another way to make keras.layers.Multiply work, so ultimately the model plotting works?",https://stackoverflow.com/questions/67159270,9134300.0,1
6,59939344,Cannot merge multiple inputs tf.keras model / Error: Graph disconnected: cannot obtain value for tensor Tensor,I cannot understand why the concatenate layer is not working with year_input when compiling the tf.keras model. Details: Function call Error,https://stackoverflow.com/questions/59939344,12794504.0,1
7,51210536,Tensorflow Eager False Postive/Negative Etc Rate,I have eager execution enabled and wasnt sure how to find specificity values or false postive etc values from my test or training data Here is the code and i have determined accuracy but it is 90 percent due to my test data so need another way to analyse data,https://stackoverflow.com/questions/51210536,10042472.0,1
8,50000400,Getting the result into a variable,I have the following example code. I'm able to see the correct result in the console from the print function. What I'd like to be able to do is to put answer into a number var so that I can use it elsewhere. The answer I get is: But I'd like to get the 4.9999 into a variable so that I can round it up to 5 and print it on screen (in html).,https://stackoverflow.com/questions/50000400,658493.0,1
9,42342022,Get random gamma distribution in tensorflow like numpy.random.gamma,Hi I am new to tensorflow and I am trying to generate random gamma distribution in tensorflow just like numpy.random.gamma My numpy code is :- where n_topic=240 and n_voca=198 My tensorflow code is :- Is it a correct implementation? I believe I failed to understand the parameters of tf.random_gamma became self._lambda &lt;&gt; self.tf_lambda.,https://stackoverflow.com/questions/42342022,5217799.0,1
