user_id,experience,v_index,reputation_ans,reputation_ques,reputation
985088,84,2,130,130,260
1538049,78,2,205,200,405
11626498,25,0,0,0,0
9560068,51,0,0,0,0
3760132,77,2,210,368,578
8648710,50,3,563,312,875
14290952,0,0,0,0,0
10541065,49,0,0,10,10
12869645,46,1,10,40,50
6770703,86,3,430,330,760
1447953,56,1,35,70,105
5425172,32,1,35,10,45
1050648,86,2,260,808,1068
2103321,7,0,0,0,0
6133787,29,1,20,10,30
1118236,74,1,90,270,360
9914396,58,0,0,0,0
13959198,41,0,0,0,0
9207839,71,0,0,0,0
9799714,59,0,0,50,50
1382437,89,0,0,310,310
3936294,45,1,55,90,145
15409191,33,0,0,20,20
6830120,39,0,15,98,113
4333609,80,1,45,150,195
3309610,74,2,128,30,158
1601580,90,4,502,2264,2766
18569492,9,0,0,0,0
10453038,17,0,0,18,18
1232944,81,1,45,30,75
10088497,39,1,25,80,105
1519665,72,1,30,110,140
16300082,30,0,0,10,10
12589108,0,0,0,0,0
8865844,72,1,10,26,36
9226290,71,1,45,80,125
10203191,64,0,0,30,30
14301246,39,0,0,10,10
13230142,8,0,0,0,0
3674176,55,2,173,110,283
5052482,67,1,35,228,263
7241796,60,0,0,588,588
14622788,37,0,0,70,70
4487238,86,1,10,160,170
11065415,56,1,45,288,333
4005959,80,1,40,18,58
9685065,42,0,0,50,50
8163401,24,0,0,0,0
7764047,77,0,0,16,16
9195600,71,1,10,38,48
11726927,24,0,0,10,10
6926418,38,0,0,10,10
4341842,75,2,160,98,258
13805655,30,0,15,6,21
2138200,96,1,10,130,140
5623899,64,1,65,788,853
7460955,64,0,0,10,10
7716958,81,0,0,20,20
14913631,0,0,0,0,0
10289249,48,0,0,40,40
13572195,43,0,0,0,0
7905379,71,0,0,0,0
3131493,12,0,0,0,0
13316200,31,0,0,0,0
7096427,86,0,0,0,0
9621612,68,0,0,0,0
4909165,50,1,30,60,90
3055724,23,1,10,36,46
8859758,62,0,0,10,10
19167343,19,0,0,10,10
19746925,0,0,0,0,0
1120370,90,0,0,410,410
2984051,83,3,245,458,703
8083568,74,1,25,38,63
7483509,51,1,30,310,340
2426998,70,0,0,10,10
9973879,65,0,30,614,644
6430839,81,1,10,220,230
13402234,0,0,0,0,0
10432635,41,0,0,58,58
15822972,0,0,0,0,0
8161411,35,1,10,20,30
3926152,63,2,583,140,723
12920968,46,0,0,0,0
9109641,72,1,10,0,10
11348106,56,0,0,10,10
3203213,15,1,65,0,65
7651473,54,0,0,20,20
7618706,49,0,0,40,40
5566610,76,0,0,20,20
8859796,65,0,0,10,10
6142101,65,0,0,40,40
3924118,71,3,507,658,1165
18090135,22,1,10,0,10
8536211,10,0,0,0,0
5777564,53,0,0,160,160
15141021,34,0,0,0,0
3211422,65,3,278,350,628
14041249,40,0,0,20,20
20517027,0,0,0,0,0
10170533,0,0,0,0,0
1984680,70,1,40,310,350
9048235,39,0,0,20,20
12404907,38,0,-4,60,56
7397552,82,0,0,0,0
9279666,46,1,35,-2,33
6156468,65,1,10,20,30
8081595,77,0,0,40,40
4341948,96,1,1333,7058,8391
2394303,0,0,0,0,0
1145023,77,1,25,110,135
2175173,70,1,45,200,245
14637258,28,0,0,10,10
11106507,32,1,35,100,135
9328846,69,3,411,882,1293
16787662,28,0,0,10,10
16296144,0,0,0,0,0
39123,71,1,45,120,165
1347796,66,0,0,40,40
463065,71,0,0,10,10
