QuestionId,CreationDate
"33762831","2015-11-17 17:01:44"
"33916981","2015-11-25 12:50:23"
"34619177","2016-01-05 18:51:56"
"34642595","2016-01-06 20:56:26"
"34706950","2016-01-10 15:07:18"
"34931121","2016-01-21 18:07:23"
"35689547","2016-02-28 23:19:26"
"36223157","2016-03-25 15:45:42"
"36631868","2016-04-14 19:07:07"
"37146272","2016-05-10 18:29:03"
"37376861","2016-05-22 16:35:20"
"38033079","2016-06-25 20:59:00"
"38083325","2016-06-28 18:06:27"
"38114534","2016-06-30 05:20:57"
"38265061","2016-07-08 11:01:31"
"38356622","2016-07-13 16:02:56"
"38461214","2016-07-19 14:21:37"
"38543850","2016-07-23 16:15:43"
"38641887","2016-07-28 16:23:56"
"38995254","2016-08-17 11:21:43"
"39112622","2016-08-24 00:22:34"
"39125489","2016-08-24 14:01:44"
"39211332","2016-08-29 16:54:32"
"39841490","2016-10-03 22:38:12"
"40029904","2016-10-13 20:00:36"
"40195549","2016-10-22 18:23:37"
"40404519","2016-11-03 14:46:13"
"40451974","2016-11-06 16:58:18"
"40698709","2016-11-19 22:41:02"
"40731433","2016-11-21 23:38:20"
"40824149","2016-11-26 23:17:10"
"41125183","2016-12-13 15:50:04"
"41353079","2016-12-27 22:39:59"
"41437483","2017-01-03 06:14:27"
"41467115","2017-01-04 15:13:46"
"41602374","2017-01-11 23:05:35"
"41666964","2017-01-15 22:21:36"
"41705377","2017-01-17 19:28:31"
"41714318","2017-01-18 08:16:35"
"41756054","2017-01-20 04:20:50"
"41789133","2017-01-22 09:04:46"
"41865218","2017-01-26 02:54:36"
"41941940","2017-01-30 17:32:28"
"42012906","2017-02-02 21:48:35"
"42022950","2017-02-03 11:16:19"
"42141054","2017-02-09 15:47:49"
"42201565","2017-02-13 10:14:57"
"42256938","2017-02-15 18:05:16"
"42333101","2017-02-19 21:29:21"
"42334855","2017-02-20 00:54:46"
"42356027","2017-02-20 23:29:54"
"42419837","2017-02-23 15:26:32"
"42440111","2017-02-24 13:40:27"
"42454973","2017-02-25 10:41:20"
"42470319","2017-02-26 15:21:48"
"42608245","2017-03-05 12:15:27"
"42695305","2017-03-09 12:22:48"
"42753297","2017-03-12 21:19:42"
"42754259","2017-03-12 23:03:38"
"42933599","2017-03-21 16:57:04"
"42956766","2017-03-22 15:54:39"
"42981493","2017-03-23 16:14:28"
"43148578","2017-03-31 19:46:27"
"43217669","2017-04-04 21:03:47"
"43262815","2017-04-06 18:12:48"
"43367697","2017-04-12 10:59:51"
"43422949","2017-04-15 06:24:56"
"43443205","2017-04-16 23:22:18"
"43460838","2017-04-17 22:47:02"
"43624625","2017-04-26 03:43:10"
"43752099","2017-05-03 05:56:02"
"43775463","2017-05-04 06:32:38"
"43792961","2017-05-04 21:21:01"
"43885770","2017-05-10 07:12:52"
"43916019","2017-05-11 12:52:40"
"43942274","2017-05-12 16:16:04"
"44141986","2017-05-23 18:03:48"
"44162432","2017-05-24 15:15:08"
"44206534","2017-05-26 16:48:07"
"44217076","2017-05-27 12:50:47"
"44232541","2017-05-28 22:18:00"
"44314992","2017-06-01 18:50:22"
"44357675","2017-06-04 18:51:09"
"44415901","2017-06-07 14:45:09"
"44478812","2017-06-10 22:53:18"
"44508335","2017-06-12 20:38:58"
"44526763","2017-06-13 16:17:30"
"44535119","2017-06-14 03:53:53"
"44563648","2017-06-15 09:19:07"
"44637815","2017-06-19 18:47:29"
"44640357","2017-06-19 21:36:50"
"44690363","2017-06-22 04:48:01"
"44753916","2017-06-26 06:10:01"
"44764887","2017-06-26 17:02:44"
"44770980","2017-06-27 01:19:39"
"44873802","2017-07-02 18:10:39"
"44939540","2017-07-06 03:56:31"
"45030619","2017-07-11 09:30:53"
"45074049","2017-07-13 07:25:59"
"45077445","2017-07-13 10:03:26"
"45151015","2017-07-17 18:16:35"
"45155864","2017-07-18 01:04:48"
"45247909","2017-07-21 23:01:51"
"45373740","2017-07-28 12:36:46"
"45428557","2017-08-01 03:37:18"
"45553280","2017-08-07 18:15:21"
"45591967","2017-08-09 13:22:55"
"45595419","2017-08-09 15:53:32"
"45634450","2017-08-11 11:46:08"
"45705070","2017-08-16 04:21:25"
"45734487","2017-08-17 11:56:06"
"45784815","2017-08-20 17:14:28"
"45879776","2017-08-25 10:52:21"
"45955241","2017-08-30 08:12:35"
"46089839","2017-09-07 06:59:21"
"46131410","2017-09-09 13:51:56"
"46139202","2017-09-10 09:29:56"
"46221420","2017-09-14 14:11:26"
"46372554","2017-09-22 20:12:39"
"46381790","2017-09-23 16:25:16"
"46418686","2017-09-26 05:48:29"
"46424912","2017-09-26 11:13:31"
"46444018","2017-09-27 09:18:35"
"46455648","2017-09-27 19:17:45"
"46513923","2017-10-01 15:33:02"
"46516168","2017-10-01 19:37:54"
"46759271","2017-10-15 19:44:25"
"46885191","2017-10-23 08:45:42"
"46964597","2017-10-26 22:08:39"
"46976226","2017-10-27 13:29:17"
"47035862","2017-10-31 12:49:10"
"47119604","2017-11-05 08:27:00"
"47170879","2017-11-08 02:59:26"
"47205160","2017-11-09 15:05:41"
"47231048","2017-11-10 21:00:31"
"47379766","2017-11-19 17:24:53"
"47432870","2017-11-22 10:53:37"
"47568998","2017-11-30 08:34:45"
"47580828","2017-11-30 19:03:16"
"47644412","2017-12-05 00:53:29"
"47665314","2017-12-06 01:16:41"
"47783391","2017-12-12 23:46:04"
"47901034","2017-12-20 07:41:54"
"47965551","2017-12-25 03:49:11"
"47984876","2017-12-26 23:54:18"
"48174323","2018-01-09 18:13:17"
"48309631","2018-01-17 20:39:21"
"48427269","2018-01-24 16:28:41"
"48445751","2018-01-25 14:53:14"
"48471926","2018-01-27 02:08:26"
"48682703","2018-02-08 10:05:16"
"48697799","2018-02-09 02:18:42"
"48773872","2018-02-13 19:05:26"
"48869256","2018-02-19 15:25:48"
"48914952","2018-02-21 20:31:51"
"48976538","2018-02-25 17:48:07"
"49201832","2018-03-09 20:42:03"
"49223976","2018-03-11 19:11:02"
"49267730","2018-03-13 23:54:22"
"49281676","2018-03-14 15:26:43"
"49303136","2018-03-15 15:16:09"
"49393659","2018-03-20 20:35:32"
"49416931","2018-03-21 21:37:02"
"49472402","2018-03-25 03:57:14"
"49505986","2018-03-27 06:43:24"
"49564318","2018-03-29 20:14:52"
"49636845","2018-04-03 18:27:22"
"49642343","2018-04-04 03:35:16"
"49662470","2018-04-05 00:40:23"
"49761611","2018-04-10 19:34:06"
"49765164","2018-04-11 01:40:12"
"49770934","2018-04-11 09:06:10"
"49785239","2018-04-11 22:22:54"
"49874387","2018-04-17 09:23:53"
"49890477","2018-04-18 03:01:20"
"49899526","2018-04-18 12:17:41"
"49997294","2018-04-24 08:51:46"
"50029121","2018-04-25 18:31:48"
"50149953","2018-05-03 08:06:20"
"50210594","2018-05-07 09:07:07"
"50243230","2018-05-08 22:45:02"
"50245039","2018-05-09 03:21:15"
"50246535","2018-05-09 06:07:16"
"50282420","2018-05-10 22:33:35"
"50308951","2018-05-12 17:29:56"
"50315140","2018-05-13 10:29:02"
"50383462","2018-05-17 04:42:33"
"50433094","2018-05-20 08:42:39"
"50442156","2018-05-21 04:50:14"
"50500579","2018-05-24 03:43:03"
"50501777","2018-05-24 05:43:00"
"50514454","2018-05-24 16:50:01"
"50532850","2018-05-25 15:47:32"
"50560013","2018-05-28 06:02:06"
"50606178","2018-05-30 13:37:22"
"50820781","2018-06-12 15:27:38"
"50840759","2018-06-13 15:16:01"
"50967885","2018-06-21 11:49:15"
"50997293","2018-06-23 01:50:44"
"51058476","2018-06-27 08:52:50"
"51069173","2018-06-27 18:20:58"
"51077930","2018-06-28 08:15:39"
"51248442","2018-07-09 14:54:11"
"51273177","2018-07-10 20:04:56"
"51278422","2018-07-11 06:17:03"
"51330841","2018-07-13 18:17:41"
"51342304","2018-07-14 18:26:30"
"51366455","2018-07-16 16:38:21"
"51392594","2018-07-18 02:12:35"
"51586693","2018-07-30 03:41:10"
"51625529","2018-08-01 04:50:04"
"51687832","2018-08-04 17:05:55"
"51706848","2018-08-06 11:43:20"
"51806852","2018-08-12 07:53:41"
"51812904","2018-08-12 21:12:46"
"51824310","2018-08-13 14:08:09"
"51845480","2018-08-14 15:58:28"
"51858970","2018-08-15 12:45:16"
"51861790","2018-08-15 15:30:03"
"51962001","2018-08-22 07:42:26"
"51997426","2018-08-24 04:18:52"
"52035692","2018-08-27 08:51:37"
"52047963","2018-08-27 22:57:42"
"52073782","2018-08-29 09:16:02"
"52246415","2018-09-09 16:20:19"
"52254253","2018-09-10 08:56:29"
"52319765","2018-09-13 18:27:40"
"52484694","2018-09-24 17:43:40"
"52533156","2018-09-27 08:57:41"
"52572275","2018-09-29 20:24:35"
"52711895","2018-10-09 00:53:37"
"52814880","2018-10-15 10:41:04"
"52864435","2018-10-17 22:22:58"
"52874647","2018-10-18 13:00:04"
"52878311","2018-10-18 16:11:39"
"52969867","2018-10-24 13:08:06"
"52976606","2018-10-24 19:29:33"
"53000921","2018-10-26 03:18:29"
"53032922","2018-10-28 15:05:05"
"53079436","2018-10-31 08:46:24"
"53122412","2018-11-02 16:26:28"
"53149059","2018-11-05 05:56:09"
"53206900","2018-11-08 11:31:55"
"53272508","2018-11-13 01:35:08"
"53317523","2018-11-15 10:37:52"
"53366491","2018-11-18 23:29:30"
"53486698","2018-11-26 18:04:23"
"53568337","2018-12-01 06:26:11"
"53569622","2018-12-01 09:56:07"
"53572533","2018-12-01 15:56:36"
"53578484","2018-12-02 08:04:32"
"53583456","2018-12-02 18:46:35"
"53612973","2018-12-04 12:25:23"
"53677345","2018-12-07 22:02:35"
"53915078","2018-12-24 15:12:06"
"53919290","2018-12-25 04:10:02"
"53922040","2018-12-25 11:41:26"
"54007669","2019-01-02 14:00:05"
"54060667","2019-01-06 10:35:25"
"54183967","2019-01-14 15:03:38"
"54516938","2019-02-04 13:13:41"
"54524992","2019-02-04 22:04:23"
"54539396","2019-02-05 16:54:47"
"54686895","2019-02-14 09:19:44"
"54897832","2019-02-27 03:58:30"
"54945641","2019-03-01 13:27:01"
"54966581","2019-03-03 07:32:33"
"54990510","2019-03-04 19:47:18"
"55005915","2019-03-05 15:11:05"
"55044905","2019-03-07 13:24:49"
"55094952","2019-03-11 03:42:04"
"55109696","2019-03-11 20:14:39"
"55141486","2019-03-13 12:04:08"
"55168906","2019-03-14 17:41:19"
"55298323","2019-03-22 11:08:05"
"55347304","2019-03-25 22:27:41"
"55363728","2019-03-26 18:10:29"
"55418440","2019-03-29 13:24:55"
"55422537","2019-03-29 17:18:28"
"55425811","2019-03-29 21:41:52"
"55460885","2019-04-01 17:48:53"
"55560676","2019-04-07 15:33:15"
"55582569","2019-04-08 22:20:56"
"55619070","2019-04-10 18:24:25"
"55703097","2019-04-16 07:48:26"
"55711355","2019-04-16 15:08:09"
"55731549","2019-04-17 15:50:12"
"55764694","2019-04-19 16:12:29"
"55778682","2019-04-20 23:43:09"
"55788007","2019-04-22 00:46:54"
"55909188","2019-04-29 18:47:54"
"55916743","2019-04-30 08:25:08"
"55986982","2019-05-04 21:33:42"
"56047272","2019-05-08 18:51:39"
"56176475","2019-05-16 20:55:23"
"56212366","2019-05-19 22:04:39"
"56231695","2019-05-21 05:36:59"
"56271275","2019-05-23 08:40:18"
"56284927","2019-05-24 01:57:15"
"56286350","2019-05-24 05:29:09"
"56344827","2019-05-28 14:48:29"
"56386901","2019-05-30 23:31:24"
"56491633","2019-06-07 09:27:36"
"56553579","2019-06-12 01:39:22"
"56606757","2019-06-15 01:51:22"
"56635027","2019-06-17 16:02:23"
"56639621","2019-06-17 22:27:26"
"56739714","2019-06-24 15:25:34"
"56879198","2019-07-03 23:59:19"
"56899105","2019-07-05 08:12:07"
"56905939","2019-07-05 15:37:36"
"56939282","2019-07-08 16:41:34"
"56961856","2019-07-10 00:06:55"
"56969703","2019-07-10 11:25:01"
"56970612","2019-07-10 12:23:01"
"56978161","2019-07-10 20:26:52"
"56980488","2019-07-11 01:21:26"
"57014236","2019-07-12 21:30:31"
"57043401","2019-07-15 15:58:35"
"57083881","2019-07-17 20:49:11"
"57120680","2019-07-19 23:48:55"
"57134808","2019-07-21 15:58:48"
"57153123","2019-07-22 20:12:46"
"57349824","2019-08-04 20:00:21"
"57395645","2019-08-07 13:28:54"
"57396474","2019-08-07 14:15:05"
"57438371","2019-08-10 00:13:40"
"57449484","2019-08-11 11:11:50"
"57460127","2019-08-12 11:13:19"
"57588164","2019-08-21 09:08:17"
"57651287","2019-08-26 02:58:02"
"57717004","2019-08-29 19:57:26"
"57719398","2019-08-30 01:23:49"
"57921463","2019-09-13 10:00:20"
"57929803","2019-09-13 20:09:22"
"57970717","2019-09-17 08:54:48"
"57995171","2019-09-18 14:28:52"
"58012185","2019-09-19 13:28:33"
"58112355","2019-09-26 08:13:33"
"58176215","2019-09-30 22:58:10"
"58268936","2019-10-07 11:45:56"
"58384884","2019-10-14 22:39:09"
"58520594","2019-10-23 10:16:33"
"58550146","2019-10-24 22:55:53"
"58631390","2019-10-30 18:08:57"
"58663198","2019-10-31 15:57:27"
"58772846","2019-11-08 19:42:07"
"58842107","2019-11-13 17:03:05"
"58873635","2019-11-15 09:11:07"
"58933545","2019-11-19 11:55:02"
"58959582","2019-11-20 16:55:38"
"58963793","2019-11-20 21:39:48"
"59056872","2019-11-26 17:59:32"
"59074659","2019-11-27 16:31:37"
"59092423","2019-11-28 15:49:49"
"59177677","2019-12-04 13:56:29"
"59232039","2019-12-08 02:50:23"
"59262869","2019-12-10 08:17:36"
"59299060","2019-12-12 06:42:57"
"59361689","2019-12-16 17:36:52"
"59427969","2019-12-20 15:48:32"
"59497372","2019-12-27 07:19:50"
"59555206","2020-01-01 18:51:03"
"59578283","2020-01-03 12:01:10"
"59654496","2020-01-08 22:09:01"
"59727916","2020-01-14 05:22:54"
"59743351","2020-01-14 23:44:27"
"59906819","2020-01-25 06:11:55"
"59908904","2020-01-25 11:46:37"
"59998335","2020-01-31 05:24:12"
"60013980","2020-02-01 04:23:54"
"60047705","2020-02-03 21:54:37"
"60215970","2020-02-13 20:29:51"
"60311184","2020-02-20 00:14:01"
"60314717","2020-02-20 07:19:38"
"60384790","2020-02-24 22:23:21"
"60398554","2020-02-25 15:55:09"
"60453533","2020-02-28 14:16:17"
"60469970","2020-02-29 21:57:46"
"60516977","2020-03-03 23:25:04"
"60590333","2020-03-08 17:46:06"
"60782077","2020-03-20 21:51:18"
"60816678","2020-03-23 15:34:13"
"60919434","2020-03-29 19:09:25"
"61004723","2020-04-03 03:35:23"
"61102598","2020-04-08 14:03:28"
"61175291","2020-04-12 17:16:58"
"61273445","2020-04-17 13:59:50"
"61355289","2020-04-22 00:14:30"
"61355474","2020-04-22 00:39:24"
"61368708","2020-04-22 15:18:31"
"61428918","2020-04-25 16:30:24"
"61488761","2020-04-28 19:49:07"
"61522019","2020-04-30 11:10:29"
"61526556","2020-04-30 15:03:28"
"61645365","2020-05-06 21:04:28"
"61720708","2020-05-11 01:00:29"
"61730614","2020-05-11 13:14:49"
"61743921","2020-05-12 04:36:22"
"61767803","2020-05-13 06:30:32"
"61786707","2020-05-13 23:36:24"
"61885570","2020-05-19 07:34:24"
"61959517","2020-05-22 16:24:35"
"61988657","2020-05-24 16:06:16"
"61993100","2020-05-24 22:18:27"
"61994285","2020-05-25 01:00:57"
"62000090","2020-05-25 10:02:07"
"62019212","2020-05-26 09:46:25"
"62211822","2020-06-05 09:07:53"
"62223016","2020-06-05 19:40:28"
"62236460","2020-06-06 18:45:27"
"62249084","2020-06-07 17:25:25"
"62284095","2020-06-09 13:43:05"
"62304650","2020-06-10 13:20:33"
"62469769","2020-06-19 11:55:39"
"62582614","2020-06-25 19:07:04"
"62611459","2020-06-27 14:44:15"
"62670041","2020-07-01 05:04:38"
"62752605","2020-07-06 09:01:18"
"62799237","2020-07-08 16:23:54"
"62956096","2020-07-17 14:28:57"
"62962147","2020-07-17 21:43:59"
"62988423","2020-07-20 03:54:00"
"62994289","2020-07-20 11:21:22"
"63004540","2020-07-20 22:12:17"
